0                 3.17564627039246e-07
100               -8.28385964268818e-07
200               2.06839104066603e-07
300               -nan            
400               -nan            
500               -3.00549800158478e-07
600               -nan            
700               -nan            
800               7.80964910518378e-08
900               3.63415892934427e-07
1000              -5.78189428779297e-07
1100              6.61544618196785e-07
1200              -7.2632246883586e-09
1300              1.42004864756018e-07
1400              -5.94756784266792e-07
1500              -1.7258025764022e-07
1600              3.86073224944994e-07
1700              -2.82048858935013e-07
1800              2.08854544325732e-07
1900              2.54043879976962e-06
2000              -1.12628185888752e-06
2100              6.2502185755875e-06
2200              -5.66355993214529e-06
2300              1.05068465927616e-05
2400              -3.76018597307848e-05
2500              3.64419502147939e-05
2600              -7.61495684855618e-05
2700              -4.85252458020113e-05
2800              0.000135675907586119
2900              -8.21586017991649e-05
3000              0.000296244688797742
3100              -0.000424370946348063
3200              0.000586190215472016
3300              -0.000189357704584836
3400              -0.000813791870314162
3500              0.000616409437498078
3600              -1.11651970655657e-05
