0                 9389.67937988281
100               9389.68458190918
200               9389.68978515625
300               -nan            
400               -nan            
500               9389.70538696289
600               -nan            
700               -nan            
800               9389.72098205566
900               9389.72617858887
1000              9389.73137390137
1100              9389.73656982422
1200              9389.74176330566
1300              9389.74695678711
1400              9389.7521484375 
1500              9389.75734069824
1600              9389.76253234863
1700              9389.76772155762
1800              9389.77291137695
1900              9389.77810180664
2000              9389.78328613281
2100              9389.78848022461
2200              9389.7936541748 
2300              9389.79885559082
2400              9389.80399169922
2500              9389.80924926758
2600              9389.81431945801
2700              9389.81952880859
2800              9389.82489440918
2900              9389.82985656738
3000              9389.83541442871
3100              9389.83987243652
3200              9389.84606079102
3300              9389.85046203613
3400              9389.85501403809
3500              9389.8616192627 
3600              9389.86617675781
