441568800         -16104.2062393169
441568860         -16112.3221719918
441568920         -16120.5641200054
441568980         -16128.9340317381
441569040         -16137.4338283043
441569100         -16146.0654410434
441569160         -16154.8309853396
441569220         -16163.7325652168
441569280         -16172.7723187809
441569340         -16181.9525045628
441569400         -16191.2754026788
441569460         -16200.7432239443
441569520         -16210.3586074775
441569580         -16220.1239856296
441569640         -16230.0417566696
441569700         -16240.1147017259
441569760         -16250.3454519642
441569820         -16260.7368407726
441569880         -16271.2916106529
441569940         -16282.0128676528
441570000         -16292.9034587937
441570060         -16303.9665810099
441570120         -16315.2053664792
441570180         -16326.6232018616
441570240         -16338.2234726813
441570300         -16350.0095871838
441570360         -16361.9851876476
441570420         -16374.1539152153
441570480         -16386.5197064105
441570540         -16399.0863648354
441570600         -16411.8580235558
441570660         -16424.838819046
441570720         -16438.0330070686
441570780         -16451.4450308399
441570840         -16465.079497172
441570900         -16478.9411367098
441570960         -16493.0347653044
441571020         -16507.3654453366
441571080         -16521.9383039441
441571140         -16536.7586966169
441571200         -16551.8320560984
441571260         -16567.1642218497
441571320         -16582.7610696861
441571380         -16598.628500417
441571440         -16614.7729851648
441571500         -16631.200800782
441571560         -16647.9188887288
441571620         -16664.9340223254
441571680         -16682.2532998114
441571740         -16699.8843102139
441571800         -16717.8345698505
441571860         -16736.1121085481
441571920         -16754.7250720137
441571980         -16773.6819297378
441572040         -16792.9914920353
441572100         -16812.6629202707
441572160         -16832.7055132741
441572220         -16853.1291640465
441572280         -16873.9438939664
441572340         -16895.1602095188
441572400         -16916.7889943684
441572460         -16938.8415298081
441572520         -16961.3294981681
441572580         -16984.264938508
441572640         -17007.660548815
441572700         -17031.5293304103
441572760         -17055.8847106456
441572820         -17080.7409439403
441572880         -17106.1123608313
441572940         -17132.014255253
441573000         -17158.4614451213
441573060         -17185.4657695455
441573120         -17213.0551375133
441573180         -17241.2420254759
441573240         -17270.0442949126
441573300         -17299.4808172796
441573360         -17329.5714501523
441573420         -17360.336512355
441573480         -17391.7974269839
441573540         -17423.9762703821
441573600         -17456.8959459605
441573660         -17490.5803443849
441573720         -17525.0542390569
441573780         -17560.3433031551
441573840         -17596.4741084984
441573900         -17633.4743959344
441573960         -17671.3727879101
441574020         -17710.1989611564
441574080         -17749.9836921317
441574140         -17790.7587877203
441574200         -17832.5570375176
441574260         -17875.4123524319
441574320         -17919.35987602 
441574380         -17964.4355459603
441574440         -18010.6764064747
441574500         -18058.1203992899
441574560         -18106.806304561
441574620         -18156.7739044674
441574680         -18208.0633992665
441574740         -18260.7156867701
441574800         -18314.7717715816
441574860         -18370.2729525497
441574920         -18427.2602331417
441574980         -18485.7741055881
441575040         -18545.8538499201
441575100         -18607.5374033201
441575160         -18670.8607500456
441575220         -18735.8566535621
441575280         -18802.5542680029
441575340         -18870.978039578
441575400         -18941.1462717026
441575460         -19013.0698957566
441575520         -19086.7507215184
441575580         -19162.1794501579
441575640         -19239.3335986145
441575700         -19318.1747832257
441575760         -19398.6456432172
441575820         -19480.6668982508
441575880         -19564.1331040224
441575940         -19648.9088895592
441576000         -19734.8239118794
