441568800         -16134.8205408751889
441568801         -16132.6148408816549
441568802         -16130.4097979905602
441568803         -16128.2037468046043
441568804         -16126.0018830178807
441568805         -16123.7970723135211
441568806         -16121.5949502290399
441568807         -16119.3933584196537
441568808         -16117.1925622891793
441568809         -16114.9923839032293
441568810         -16112.7928624865841
441568811         -16110.5923822012964
441568812         -16108.396094241221
441568813         -16106.1969511431716
441568814         -16104.0003676908608
441568815         -16101.8060658992528
441568816         -16099.6090853563683
441568817         -16097.4127405311787
441568818         -16095.2207010791151
441568819         -16093.0275253232765
441568820         -16090.8333118664727
441568821         -16088.6433058290162
441568822         -16086.4505557876894
441568823         -16084.2602176459836
441568824         -16082.0705737512694
441568825         -16079.8816813014976
441568826         -16077.693498958376
441568827         -16075.5042145936377
441568828         -16073.3191999552375
441568829         -16071.1313382667899
441568830         -16068.9460376219942
441568831         -16066.7613693166031
441568832         -16064.5791693931853
441568833         -16062.3924449238131
441568834         -16060.211720764106
441568835         -16058.0298860455263
441568836         -16055.8470746515518
441568837         -16053.668510733796
441568838         -16051.487045330585
441568839         -16049.3081251446508
441568840         -16047.129950429244
441568841         -16044.9525045092564
441568842         -16042.7757358615994
441568843         -16040.5996482972508
441568844         -16038.4225649360511
441568845         -16036.2497725195157
441568846         -16034.0741370469708
441568847         -16031.9009548622644
441568848         -16029.7285307459464
441568849         -16027.5568433631978
441568850         -16025.3859134830157
441568851         -16023.2156554166458
441568852         -16021.0443316411202
441568853         -16018.8773504498401
441568854         -16016.7074893575512
441568855         -16014.5401685066336
441568856         -16012.3735886828763
441568857         -16010.2077053194731
441568858         -16008.0425471568551
441568859         -16005.8782245636021
441568860         -16003.714497581247
441568861         -16001.5497645506769
441568862         -15999.3875955093618
441568863         -15997.2278866788841
441568864         -15995.0654484893418
441568865         -15992.9053921942109
441568866         -15990.7461565240867
441568867         -15988.585892672121
441568868         -15986.4298515832646
441568869         -15984.2728330867733
441568870         -15982.1147394784954
441568871         -15979.9592342730289
441568872         -15977.8043741379627
441568873         -15975.6520845823139
441568874         -15973.4951916317463
441568875         -15971.3444401800827
441568876         -15969.1925808155965
441568877         -15967.0396651445855
441568878         -15964.8911088161373
441568879         -15962.7397625024578
441568880         -15960.5909301527089
441568881         -15958.4445155272195
441568882         -15956.2936615619171
441568883         -15954.148795458195
441568884         -15952.0029833166771
441568885         -15949.8578736099284
441568886         -15947.7117218753403
441568887         -15945.5680444804986
441568888         -15943.4271024191365
441568889         -15941.2831478713501
441568890         -15939.1418523376362
441568891         -15937.0012491870296
441568892         -15934.8596078362032
441568893         -15932.722367781979
441568894         -15930.5839987463826
441568895         -15928.4446591762246
441568896         -15926.3078872731648
441568897         -15924.1717866347369
441568898         -15922.0365861359531
441568899         -15919.902005911251
441568900         -15917.7682792124425
441568901         -15915.6352265907343
441568902         -15913.5012576701707
441568903         -15911.3715661311842
441568904         -15909.2390545019061
441568905         -15907.1091303767808
441568906         -15904.9817125270631
441568907         -15902.8497287598155
441568908         -15900.7238187592461
441568909         -15898.5970133619528
441568910         -15896.4708715074848
441568911         -15894.3437463375342
441568912         -15892.2209328646029
441568913         -15890.0953645872573
441568914         -15887.9723348205333
441568915         -15885.8500748546839
441568916         -15883.7285381425263
441568917         -15881.6078883064785
441568918         -15879.4860876050592
441568919         -15877.3687692126437
441568920         -15875.2485933024733
441568921         -15873.1326627050844
441568922         -15871.0141008022606
441568923         -15868.8980187809108
441568924         -15866.7827496461192
441568925         -15864.6682281952176
441568926         -15862.5526920922779
441568927         -15860.44149607731 
441568928         -15858.3276067161856
441568929         -15856.2179290347154
441568930         -15854.1055589223891
441568931         -15851.9957213961948
441568932         -15849.8866777848789
441568933         -15847.7784347118875
441568934         -15845.6709007803206
441568935         -15843.5624487525812
441568936         -15841.4583327189247
441568937         -15839.3514110234384
441568938         -15837.24880684961 
441568939         -15835.1435496527657
441568940         -15833.0407597062507
441568941         -15830.9387301746213
441568942         -15828.8376072563057
441568943         -15826.7353971941645
441568944         -15824.6376042050751
441568945         -15822.5369737682711
441568946         -15820.44073168073 
441568947         -15818.341776742814
441568948         -15816.2452933155344
441568949         -15814.1495922703487
441568950         -15812.0548506762695
441568951         -15809.9607199869248
441568952         -15807.8657539944844
441568953         -15805.7750498734408
441568954         -15803.6815312870421
441568955         -15801.5924930292702
441568956         -15799.5006294390318
441568957         -15797.4113999001293
441568958         -15795.3228872910252
441568959         -15793.2351888166162
441568960         -15791.1466401779621
441568961         -15789.0622850960154
441568962         -15786.9770342845082
441568963         -15784.8908016386407
441568964         -15782.8071212329  
441568965         -15780.7242650135164
441568966         -15778.6422184355353
441568967         -15776.5610214393354
441568968         -15774.4805546364679
441568969         -15772.4009061287516
441568970         -15770.3203008326209
441568971         -15768.2440483221741
441568972         -15766.1650823955305
441568973         -15764.0886848349416
441568974         -15762.0131302160459
441568975         -15759.9383427519749
441568976         -15757.8643321116285
441568977         -15755.7912058011928
441568978         -15753.7170782853131
441568979         -15751.6473424637029
441568980         -15749.5748452807997
441568981         -15747.5067016990297
441568982         -15745.435835315074
441568983         -15743.3675962924407
441568984         -15741.300117884395
441568985         -15739.2335045683109
441568986         -15737.1659588940107
441568987         -15735.1026454853016
441568988         -15733.0367073779619
441568989         -15730.9751700014025
441568990         -15728.9107861572596
441568991         -15726.8490894851563
441568992         -15724.7882331752635
441568993         -15722.7280641394378
441568994         -15720.6689055286269
441568995         -15718.6086222799598
441568996         -15716.5528481669177
441568997         -15714.4942359904133
441568998         -15712.4400812600271
441568999         -15710.3831715421665
441569000         -15708.328895376387
