441568800         6.79370791094563e-09
441568920         7.00650693981163e-09
441569040         7.22548392987607e-09
441569160         7.45151100395427e-09
441569280         7.6846927058748e-09
441569400         7.92541630786285e-09
441569520         8.17471557408426e-09
441569640         8.4322933148641e-09
441569760         8.6990026205736e-09
441569880         8.9753033867757e-09
441570000         9.26155476645146e-09
441570120         9.55885669874429e-09
441570240         9.86728239414837e-09
441570360         1.01878817487618e-08
441570480         1.05213415514671e-08
441570600         1.08683415043408e-08
441570720         1.12297486875399e-08
441570840         1.16067673379836e-08
441570960         1.19999301219427e-08
441571080         1.24103681175923e-08
441571200         1.28396656524029e-08
441571320         1.32883543607762e-08
441571440         1.37583611321056e-08
441571560         1.42509690078744e-08
441571680         1.47677406976592e-08
441571800         1.53101522554262e-08
441571920         1.58800139653706e-08
441572040         1.64796525079124e-08
441572160         1.71108856369931e-08
441572280         1.77761416300204e-08
441572400         1.8478205168537e-08
441572520         1.92194531846565e-08
441572640         2.00031896565092e-08
441572760         2.08323845846904e-08
441572880         2.1710423751333e-08
441573000         2.26339673054584e-08
441573120         2.3629803070484e-08
441573240         2.46795593820991e-08
441573360         2.57958076325273e-08
441573480         2.69839301518483e-08
441573600         2.82492490789708e-08
441573720         2.95978779518206e-08
441573840         3.10362317943662e-08
441573960         3.25710204691112e-08
441574080         3.42092240208193e-08
441574200         3.59578123545375e-08
441574320         3.78243132585004e-08
441574440         3.98147557298674e-08
441574560         4.193569276432e-08
441574680         4.41913856755451e-08
441574800         4.65843104567148e-08
441574920         4.9113603550543e-08
441575040         5.17729198198252e-08
441575160         5.45495561985181e-08
441575280         5.74193119371445e-08
441575400         6.03439271691295e-08
441575520         6.32653158472298e-08
441575640         6.60984464556679e-08
441575760         6.87219214197117e-08
441575880         7.09687957314267e-08
441576000         7.26148952137347e-08
