0               , 7500000         , 0               , 0               , -0              , 7290.18007825138, 0               
10              , 7499645.28448545, 72900.6523138785, -0.000901158948686556, -70.9425464211138, 7289.83546109403, -0.000179484561376722
20              , 7498581.17134373, 145794.410807116, -0.00357449775814034, -141.878411223968, 7288.80132491178, -0.000354411249552546
30              , 7496807.76081627, 218674.380720576, -0.00797370163598951, -212.80090951495, 7287.07776667181, -0.000524633432713449
40              , 7494325.2199877 , 291533.66858712 , -0.0140510072348373, -283.703357656176, 7284.66494780499, -0.000690008055078161
50              , 7491133.78277015, 364365.382876177, -0.0217572389919898, -354.579073879201, 7281.56309418989, -0.000850395764592896
60              , 7487233.74988157, 437162.63463811 , -0.0310418471002752, -425.421378898751, 7277.77249613153, -0.00100566107525855
70              , 7482625.48881778, 509918.538148354, -0.0418529468526777, -496.223596525831, 7273.29350833384, -0.00115567252776616
80              , 7477309.43381843, 582626.211551244, -0.054137359825344, -566.979054280684, 7268.12654986701, -0.00130030286033943
90              , 7471286.0858269 , 655278.77750349 , -0.0678406560357474, -637.681084005408, 7262.27210412909, -0.00143942904495559
100             , 7464556.01244398, 727869.363817241, -0.082907197778556, -708.323022475956, 7255.73071880182, -0.00157293258663841
110             , 7457119.84787547, 800391.104102676, -0.0992801848756665, -778.898212013949, 7248.50300580102, -0.00170069951902909
120             , 7448978.2928737 , 872837.138410076, -0.116901701316443, -849.400001097702, 7240.58964122138, -0.0018226206506614
130             , 7440132.11467288, 945200.613871312, -0.135712763021555, -919.821744972763, 7231.99136527543, -0.00193859160366317
140             , 7430582.14691837, 1017474.68534069, -0.15565336730623, -990.156806262089, 7222.7089822273 , -0.00204851301846142
150             , 7420329.2895899 , 1089652.51603513, -0.176662543411554, -1060.39855557524, 7212.74336032063, -0.00215229069528077
160             , 7409374.50891861, 1161727.27817356, -0.198678404314916, -1130.54037211722, 7202.09543170092, -0.00224983559994551
170             , 7397718.83729811, 1233692.15361551, -0.221638199667571, -1200.57564429616, 7190.76619233241, -0.00234106408347149
180             , 7385363.37318936, 1305540.3344989 , -0.245478369826316, -1270.49777033067, 7178.75670190932, -0.00242589800184237
190             , 7372309.28101956, 1377265.02387685, -0.2701346017889, -1340.30015885614, 7166.06808376161, -0.00250426482021897
200             , 7358557.79107494, 1448859.43635354, -0.295541885188856, -1409.97622953034, 7152.70152475517, -0.00257609761704583
210             , 7344110.19938754, 1520316.79871905, -0.321634569518254, -1479.51941363786, 7138.65827518639, -0.00264133531344767
220             , 7328967.8676159 , 1591630.35058311, -0.348346423022076, -1548.92315469385, 7123.93964867129, -0.00269992275402459
230             , 7313132.22291972, 1662793.34500775, -0.375610692139313, -1618.18090904672, 7108.54702202909, -0.00275181074743293
240             , 7296604.75782858, 1733799.04913868, -0.403360161811287, -1687.28614647979, 7092.4818351604 , -0.00279695619923242
250             , 7279387.03010451, 1804640.74483549, -0.431527216614796, -1756.23235081181, 7075.74559091947, -0.00283532213192185
260             , 7261480.66259872, 1875311.72930055, -0.460043902676442, -1825.01302049645, 7058.33985498145, -0.00286687785729531
270             , 7242887.34310217, 1945805.31570651, -0.488841990685064, -1893.62166922068, 7040.2662557039 , -0.0028915989875132
280             , 7223608.82419034, 2016114.83382238, -0.517853039473966, -1962.05182650188, 7021.52648398273, -0.00290946755003215
290             , 7203646.92306186, 2086233.63063824, -0.54700846024646, -2030.29703828354, 7002.12229310278, -0.00292047200131737
300             , 7183003.52137135, 2156155.07098829, -0.576239581517147, -2098.35086753017, 6982.05549858291, -0.00292460735626236
310             , 7161680.56505617, 2225872.53817244, -0.605477714116885, -2166.20689482032, 6961.32797801566, -0.00292187508354976
320             , 7139680.06415741, 2295379.4345762 , -0.634654217296495, -2233.85871893846, 6939.94167090118, -0.00291228336972411
330             , 7117004.09263477, 2364669.18228889, -0.663700564913295, -2301.29995746572, 6917.89857847613, -0.00289584699226307
340             , 7093654.78817573, 2433735.22372019, -0.692548412130991, -2368.5242473686, 6895.20076353659, -0.0028725874406329
350             , 7069634.35199874, 2502571.02221473, -0.721129662580067, -2435.52524558663, 6871.85035025609, -0.00284253289937927
360             , 7044945.04865051, 2571170.06266501, -0.74937653544273, -2502.29662961839, 6847.84952399771, -0.00280571829816671
370             , 7019589.20579757, 2639525.8521223 , -0.777221633010943, -2568.8320981059, 6823.2005311212 , -0.00276218535634844
380             , 6993569.21401187, 2707631.92040564, -0.804598008421353, -2635.12537141714, 6797.90567878412, -0.00271198250141154
390             , 6966887.52655062, 2775481.82070876, -0.8314392330291, -2701.17019222736, 6771.96733473804, -0.00265516496271039
400             , 6939546.65913033, 2843069.13020502, -0.85767946444955, -2766.96032609841, 6745.38792711925, -0.00259179476307378
410             , 6911549.18969507, 2910387.45065018, -0.883253514125887, -2832.48956205609, 6718.16994423368, -0.00252194064441932
420             , 6882897.75817891, 2977430.40898298, -0.908096914606474, -2897.75171316602, 6690.31593433697, -0.00244567807202969
430             , 6853595.06626268, 3044191.65792353, -0.932145987197951, -2962.74061710754, 6661.82850540875, -0.00236308931747306
440             , 6823643.87712496, 3110664.87656941, -0.955337909091887, -3027.45013674564, 6632.71032492165, -0.00227426331863202
450             , 6793047.01518739, 3176843.77098939, -0.977610780268527, -3091.87416070094, 6602.96411960508, -0.00217929565448861
460             , 6761807.36585425, 3242722.07481482, -0.998903689636681, -3156.00660391759, 6572.59267520333, -0.00207828853816604
470             , 6729927.87524639, 3308293.54982855, -1.01915678143654, -3219.8414082295, 6541.59883622876, -0.00197135082823107
